date,Ticker,Company,Cumulative_Return
2023-10-03 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.0
2023-10-04 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.03254791077599741
2023-10-05 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.03311587361500027
2023-10-06 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.03787999873917161
2023-10-09 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.02355450743535014
2023-10-10 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.04635807740177947
2023-10-11 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.04247543720644653
2023-10-12 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.049607961517304046
2023-10-13 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.02894045697883187
2023-10-16 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.018673809324475564
2023-10-17 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.01828275822027081
2023-10-18 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.009202705510667705
2023-10-19 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.00747810185783246
2023-10-20 05:30:00,ADANIGREEN,ADANI ENTERPRISES,0.003960492999286203
2023-10-23 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.031590420838833864
2023-10-25 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.05396280296691741
2023-10-26 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.07779975467272165
2023-10-27 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.05124746709102231
2023-10-30 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.03471123328459348
2023-10-31 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.03664677327850406
2023-11-01 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.07035561776459123
2023-11-02 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.071257615689996
2023-11-03 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.06468965649711028
2023-11-06 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.05744701685767261
2023-11-07 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.06307925194226749
2023-11-08 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.05116889306434871
2023-11-09 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.07121358431857988
2023-11-10 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.07552577811895474
2023-11-12 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.07269143954020547
2023-11-13 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.0716513509065653
2023-11-15 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.06634337539101406
2023-11-16 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.07510584505938829
2023-11-17 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.07379118890997077
2023-11-20 05:30:00,ADANIGREEN,ADANI ENTERPRISES,-0.10047988865643957
